,annotater_id,table_id,hypothesis,label
0,GW1,T31,إفا مينيز ولدت في خريف عام 1974.,C
1,GW1,T31,إيف مينيز وريان غوزلينغ ستبقى متزوجة حتى نهاية حياتها,N
2,GW1,T31,مهنة إفا مينيز في السينما تتراوح ما بين 20 عاماً.,E
3,GW2,T31,إفا مينيز ولدت في شمال الولايات المتحدة.,C
4,GW2,T31,إفا مينيز لا يزال يعمل كمتدرب.,N
5,GW2,T31,إيف مينيز لديه طفلين,E
6,GW4,T31,إفا مينيز متزوج من أشخاص مختلفين منذ عام 2011.,C
7,GW4,T31,إفا مينيز معروفة بمهاراتها التجارية.,N
8,GW4,T31,ولدت إفا مينيز في ساحل شرق الولايات المتحدة.,E
9,GW1,T46,حياة جيني لوي تتراوح ما بين 55 عاماً.,C
10,GW1,T46,جيني لوي عيش في كاليفورنيا طوال حياته.,N
11,GW1,T46,توفي جيني لوي في الخريف 2004.,E
12,GW2,T46,جيني لوي تزوج أكثر من أربع مرات.,C
13,GW2,T46,جيني لوي كان طفلاً واحدًا.,N
14,GW2,T46,جيني لوي كان سياسيًا حليفًا.,E
15,GW4,T46,ولدت جيني لوي في ساحل شرق الولايات المتحدة.,C
16,GW4,T46,يعيش جيني لوي كل حياته في كاليفورنيا.,N
17,GW4,T46,جيني لوي تزوج فقط عدة مرات.,E
18,GW2,T47,جودي وياتكر يعيش في أفريقيا,C
19,GW2,T47,جودي وياتكر لديه ابنته,N
20,GW2,T47,جودي ويتينكر متزوج منذ أقل من 14 عامًا,E
21,GW1,T47,ولدت جودي وييتكركر في فصل الشتاء 1982.,C
22,GW1,T47,يعيش جيدي وييتكركر دائمًا في إنجلترا.,N
23,GW1,T47,جودي ويتينكر لديه مهنة نشطة في المسرح منذ أقل من 20 عامًا.,E
24,GW4,T47,جودي ويتينكر تزوج قبل عام 2000.,C
25,GW4,T47,جودي وييتكركر استغرق بعض الوقت في الولايات المتحدة للعمل.,N
26,GW4,T47,جودي وييتكركر كان لديه زوج واحد فقط.,E
27,GW4,T53,فلورنس فوستر جينكينز كان فيلمًا تم إنتاجه من قبل ستيفن فريدز.,C
28,GW4,T53,تم تصوير الفيلم فلورنس فورست جينكينز بالكامل في المملكة المتحدة.,N
29,GW4,T53,فيلم فلورنس فوستر جينكينز كسب المال في المجلات.,E
30,GW1,T53,فلورنس فوستر جينكينز حصل على أقل من 25 مليون دولار من الفائدة في المجلات.,C
31,GW1,T53,تم قتله أكثر من فلورانس فورست جينكينز في فرنسا أكثر من بريطانيا.,N
32,GW1,T53,تم إصدار فلورنس فوستر جينكينز في الربيع والشتاء من 2016.,E
33,GW2,T53,فيلم فلورنس فوستر جينكينز كان له أقل من 3 نجوم.,C
34,GW2,T53,تم عرض الفيلم فلورنس فورست جينكينز لأول مرة في فرنسا.,N
35,GW2,T53,فيلم فلورنس فوستر جينكينز يحصل على المال.,E
36,GW6,T73,كان يوغين كاسبرسكي يبلغ قيمته النقدية أكثر من مليون دولار في الربيع 2017.,C
37,GW6,T73,ناتاليكا كاسبرسكي لديها طفلان.,N
38,GW6,T73,كان ماكس كاسبرسكي نائب رئيس شركة كاسبرسكي لاب تو.,E
39,GW4,T73,يوغين كاسبرسكي لم يولد في الاتحاد السوفيتي.,C
40,GW4,T73,يوغين كاسبرسكي كان لديه طفلين مع ناتاليكا كاسبرسكي,N
41,GW4,T73,يوغين كاسبرسكي ولد من مواطني الولايات المتحدة.,E
42,GW1,T73,يوغين كاسبرسكي يستحق أكثر من مليار دولار.,C
43,GW1,T73,يوغين كاسبرسكي كان يعيش دائمًا في أوروبا الشرقية.,N
44,GW1,T73,يوغين كاسبرسكي ولدت في الخريف 1965.,E
45,GW0,T78,ولد جوزيف غليودن في الجزء الجنوبي الغربي من الولايات المتحدة.,C
46,GW0,T78,Virgil Glidden هو أول طفل Joseph Glidden.,N
47,GW0,T78,تزوجت جوزيف غليدين كلاوريسا فوستر سبع سنوات قبل لوسيندا وارن.,E
48,GW1,T78,يوسف غليديد مات في شمال شرق البلاد.,C
49,GW1,T78,Joseph Glidden كان أكثر نجاحا في وقت لاحق من حياته.,N
50,GW1,T78,ولد جوزيف غليديد في فصل الشتاء 1813.,E
51,GW4,T78,Joseph Glidden كان معروفًا بمهاراتهم الفنية.,C
52,GW4,T78,لوسيندا وارن هي المرأة الأخيرة التي كانت مع جيمس غليديد.,N
53,GW4,T78,توفي جوزيف غليودن في عمر 93 عاما.,E
54,GW1,T94,ولدت جوني ماكين في الصيف عام 1936.,C
55,GW1,T94,كان ميغان أفضل طفل جون ماكين.,N
56,GW1,T94,توفي جان ماكين في الصيف 2018.,E
57,GW0,T94,يعيش جون ماكين أقل من 80 عامًا,C
58,GW0,T94,جوني ماكين ولدت في قاعدة عسكرية.,N
59,GW0,T94,جون ماكين تزوجت كارول شيب قبل سيندي هانسلي.,E
60,GW4,T94,جون ماكين كان معروفًا بالانضمام إلى الحزب الديمقراطي.,C
61,GW4,T94, جون ماكين لديه أختين,N
62,GW4,T94,توفي جون ماكين في الصيف الماضي.,E
63,GW4,T101,Chic هي مجموعة معروفة أيضا باسم The Big Orange Band.,C
64,GW4,T101,يبدو أن فريق شيك قد انقطع مرتين في الماضي.,N
65,GW4,T101,الشبكة شيك معروفة بشكل رئيسي لفيلم Disco، Funk، R&B.,E
66,GW1,T101,كان شيك معروفًا في الأصل باسم العلامة الكبيرة البانانا.,C
67,GW1,T101,يفضل أعضاء Chic إنتاج الموسيقى على علامة Atlantic على علامة Warner Bros.,N
68,GW1,T101,كانت شيك نشطة كأداة في شكل واحد أو آخر لأقل من 40 عامًا.,E
69,GW0,T101,بدأ شيك العمل قبل أقل من 40 عامًا.,C
70,GW0,T101,قام شيك بتصوير معظم موسيقىهم كجزء من The Big Apple Band.,N
71,GW0,T101,تم التوقيع على Chic على العديد من الأقراص.,E
72,GW4,T111, شارل الرابع من إسبانيا وعائلته تم تصويرها من قبل بيكاسو.,C
73,GW4,T111,لقد حان الوقت لعدة سنوات لتصوير الصورة Charles IV of Spain and His Family.,N
74,GW4,T111,يقع في إسبانيا نسيج Charles IV of Spain and His Family.,E
75,GW0,T111,يمكن رؤية كاريلا الرابع من إسبانيا وعائلته في العاصمة الفرنسية.,C
76,GW0,T111,تم الانتهاء من Charles IV of Spain and His Family في فصل الشتاء 1801.,N
77,GW0,T111, شارل الرابع من إسبانيا وعائلته كان يستغرق أقل من عامين لإكماله.,E
78,GW1,T111,تم إنشاؤه كاريلا الرابع من إسبانيا وعائلته في أوائل القرن التاسع عشر.,C
79,GW1,T111,Charles IV of Spain and His Family كان مكتوبًا.,N
80,GW1,T111,Charles IV of Spain and His Family يبلغ أطول 10 قدمًا في أطول نقطة.,E
81,GW0,T144,جينيفر كونلي هي ممثلة بريطانية.,C
82,GW0,T144,جينيفر كونيلي حصل على درجة البكالوريوس من جامعة ستانفورد.,N
83,GW0,T144,جينيفر كونلي يعيش في نفس الدولة التي ولدت فيها.,E
84,GW1,T144,جينيفر كونلي كانت نشطة في العمل منذ أكثر من 35 عامًا.,C
85,GW1,T144,جينيفر كونلي لديه أكثر من درجة كلية واحدة.,N
86,GW1,T144,جينيفر كونلي ولدت في فصل الشتاء من عام 1970.,E
87,GW4,T144,جينيفر كونلي لم تذهب إلى الجامعة في ليفربول.,C
88,GW4,T144,جينيفر كونلي عيش حياته كلها في نيويورك.,N
89,GW4,T144,جينيفر كونلي كان لديه زوج واحد فقط.,E
90,GW1,T149,جوني كاس نشط في الموسيقى لأقل من 45 عامًا.,C
91,GW1,T149,جوني كاس ترغب في إنتاج الموسيقى مع كولومبيا من Legacy.,N
92,GW1,T149,جوني كاس ولدت في فصل الشتاء من عام 1932.,E
93,GW0,T149,جوني كاس ولدت في الربيع من عام 1932.,C
94,GW0,T149,«جوني كاس» يقترب من زوجته الثانية جون كارتر,N
95,GW0,T149,Rosanne Carter هي أطفال جوني كاس.,E
96,GW4,T149,جوني كاس ولدت في الخريف 1932.,C
97,GW4,T149,جوني كاس كان على الأقل في 6 علامات مختلفة طوال حياته.,N
98,GW4,T149,«جوني كاس» مات الآن,E
99,GW1,T162,يوجد في بيلوريك جورسيك واحد فقط من اللغات الإقليمية المعروفة.,C
100,GW1,T162,إذا خرج ستيفن دالتون من منصبه كمدير القصر، فسيتم استئنافه جون لافودر.,N
101,GW1,T162,بلديريك جورجيا لديها لغة رسمية واحدة.,E
102,GW4,T162,اللغة الأكثر نقاشًا في Bailiwick من جورج هي الفرنسية.,C
103,GW4,T162,تتبع بيليويك جورج نفس الدين مثل إنجلترا.,N
104,GW4,T162,بيلليك جورج هو مستقل.,E
105,GW0,T162,البولنديون هم أصغر جماعة أجنبية في Bailiwick من جورجيا.,C
106,GW0,T162,يقع مقر الكنيسة الإنجليزية في Bailiwick of Jersey.,N
107,GW0,T162,هناك أكثر من الفرنسيين من الآسيويين في Bailiwick of Jersey.,E
108,GW1,T168,Farrah Abraham نشط في مهنة التلفزيون منذ حوالي 50 عامًا.,C
109,GW1,T168,Farrah Abraham ستنتهي في برنامج تلفزيوني آخر,N
110,GW1,T168,فريش إبراهيم ولد في الصيف من عام 1991.,E
111,GW0,T168,فرعون إبراهيم هو أكثر من ثلاثين سنة.,C
112,GW0,T168,فارا إبراهيم عيش في أوستن لعدد من حياته.,N
113,GW0,T168,Farrah Abraham يظهر في التلفزيون.,E
114,GW4,T168,فاري ابراهيم لديه أربعة أطفال.,C
115,GW4,T168,فارا إبراهيم معروفة بأنها ممثلة.,N
116,GW4,T168,فارا إبراهيم يعيش خارج إيوو.,E
117,GW4,T172,بلجيكا لديها ما لا يقل عن 100،000 شخص يعيشون فيها.,C
118,GW4,T172,مدينة براغ لديها أربعة أرقام بريدية.,N
119,GW4,T172,الكمبيوتر الالكتروني لبلجيكا هو 050.,E
120,GW22,T172,بلجيكا لديها عدد سكان أقل من 100،000.,C
121,GW22,T172,برجس هي أكبر مدينة في بلجيكا.,N
122,GW22,T172,ضغط برجس أقل من 900/km2.,E
123,GW1,T172,بلجيكا لديها سكان أقل من 100k.,C
124,GW1,T172,سيخسر برجوس كمدن، بحكم علم الناس، في السنوات القادمة.,N
125,GW1,T172,هناك أقل من 2500 شخص لكل ميل مربع في براغ.,E
126,GW0,T174,Jidenna ظهر على خمس علامات مختلفة.,C
127,GW0,T174,جيدنا لا يزال يعيش في Wisconsin Rapids.,N
128,GW0,T174,جيدنا يلعب منذ عام 1990.,E
129,GW4,T174,جيدنا معروفة بالموسيقى الريفية.,C
130,GW4,T174,Jidenna عملت مع كيندريك ليار على ألبوم.,N
