annotater_id,table_ids,hypothesis,label
GW1,T31,यवा मेन्डेस 1974 के शरद ऋतु में पैदा हुआ था।,C
GW1,T31,यवा मेन्डेस और रयान गोस्लिंग अपने शेष जीवन के लिए शादी करेंगे।,N
GW1,T31,यवा मेन्डेस की फिल्म कैरियर 20 से अधिक वर्षों तक फैली है।,E
GW2,T31,यवा मेन्डेस उत्तरी अमेरिका में पैदा हुआ था।,C
GW2,T31,यवा मेन्डेस अभी भी एक मॉडल के रूप में काम कर रहा है।,N
GW2,T31,ईवा मेन्डेस के दो बच्चे हैं।,E
GW4,T31,यवा मेन्डेस 2011 से अलग-अलग लोगों से शादी कर रहा है।,C
GW4,T31,ईवा मेंडेस अपने व्यापार कौशल के लिए जाना जाता है।,N
GW4,T31,ईवा मेंडेस संयुक्त राज्य अमेरिका के पूर्वी तट पर पैदा हुआ था।,E
GW1,T46,जेनेट ली की कैरियर 55 साल से कम लंबी थी।,C
GW1,T46,जेनेट ली अपने पूरे जीवन के लिए कैलिफोर्निया में रहते थे।,N
GW1,T46,जेनेट ली 2004 के शरद ऋतु में निधन हो गया।,E
GW2,T46,जेनेट ली ने चार से अधिक बार शादी की थी।,C
GW2,T46,जेनेट ली एकल बच्चा था।,N
GW2,T46,जेनेट ली राजनीतिक रूप से उदार था।,E
GW4,T46,जेनेट ली अमेरिका के पूर्वी तट पर पैदा हुआ था।,C
GW4,T46,जेनेट ली ने कैलिफोर्निया में अपना पूरा जीवन बिताया।,N
GW4,T46,जेनेट ली ने केवल कई बार शादी की।,E
GW2,T47,जॉडी व्हाइटकर अफ्रीका में रहते हैं।,C
GW2,T47,जॉडी व्हाइटकर की एक बेटी है।,N
GW2,T47,जॉडी व्हाइटकर 14 साल से कम से कम शादी कर चुके हैं।,E
GW1,T47,जॉडी व्हिटाकर 1982 के सर्दियों में पैदा हुआ था।,C
GW1,T47,जॉडी व्हाइटकर हमेशा इंग्लैंड में रहता था।,N
GW1,T47,जॉडी व्हाइटकर ने 20 से कम वर्षों से अभिनय में एक सक्रिय करियर बनाई है।,E
GW4,T47,जॉडी व्हाइटकर ने 2000 के दशक से पहले शादी कर ली थी।,C
GW4,T47,जॉडी व्हाइटकर कुछ समय अमेरिका में अभिनय में बिताया।,N
GW4,T47,जॉडी व्हाइटकर के पास केवल एक पति था।,E
GW4,T53,फ्लोरेंस फोस्टर जेन्किन्स एक फिल्म थी जो स्टीफन फ्रीर्स द्वारा निर्मित की गई थी।,C
GW4,T53,फिल्म फ्लोरेंस फोस्टर जेन्किन्स पूरी तरह से ब्रिटेन में शूटिंग की गई थी।,N
GW4,T53,फिल्म फ्लोरेंस फोस्टर जेन्किन्स ने बॉक्स ऑफिस पर पैसा कमाया।,E
GW1,T53,फ्लोरेंस फोस्टर जेन्किन्स ने बॉक्स ऑफिस में 25 मिलियन डॉलर से कम लाभ प्राप्त किया।,C
GW1,T53,फ्रांस में फ्लोरेंस फोस्टर जेन्किन्स की शूटिंग की संख्या ब्रिटेन की तुलना में अधिक है।,N
GW1,T53,फ्लोरेंस फोस्टर जेन्किन्स 2016 के वसंत और गर्मियों में रिलीज किया गया था।,E
GW2,T53,फिल्म फ्लोरेंस फोस्टर जेन्किन्स में कम से कम 3 स्टार अभिनेता थे।,C
GW2,T53,फिल्म फ्लोरेंस फोस्टर जेन्किन्स को पहली बार फ्रांस में रिलीज किया गया था।,N
GW2,T53,फिल्म फ्लोरेंस फोस्टर जेन्किन्स ने पैसा कमाया।,E
GW6,T73,यूजीने कास्परस्की की वसंत 2017 में एक मिलियन डॉलर से अधिक की शुद्ध संपत्ति थी।,C
GW6,T73,नताल्या कास्परस्की के दो बच्चे हैं।,N
GW6,T73,मैक्सिम कैस्परस्की ने कैस्परस्की लैब के उपाध्यक्ष के रूप में काम किया।,E
GW4,T73,योजेन कैस्परस्की सोवियत संघ में पैदा नहीं हुआ था।,C
GW4,T73,यूजीने कास्परस्की ने अपने दोनों बच्चों को नताल्या कास्परस्की के साथ किया,N
GW4,T73,योजेन कैस्परस्की एक अमेरिकी नागरिक पैदा हुआ था।,E
GW1,T73,यूजीने कास्परस्की एक लाख डॉलर से अधिक के लायक है।,C
GW1,T73,योजेन कास्परस्की हमेशा पूर्वी यूरोप में रहते थे।,N
GW1,T73,योजेन कैस्परस्की 1965 के शरद ऋतु में पैदा हुआ था।,E
GW0,T78,जॉसेफ ग्लिडेन अमेरिका के दक्षिण-पश्चिम भाग में पैदा हुआ था।,C
GW0,T78,वर्जिल ग्लिडेन जॉसेफ ग्लिडेन का सबसे बड़ा बच्चा है।,N
GW0,T78,जॉसेफ ग्लिडेन क्लारिसा फोस्टर से सात साल पहले ल्यूसिंडा वॉर्न से शादी की।,E
GW1,T78,जॉसेफ ग्लिडेन उत्तर-पूर्व में मर गया।,C
GW1,T78,जॉसेफ ग्लिडेन जीवन में पहले की तुलना में बाद में अधिक सफल था।,N
GW1,T78,जॉसेफ ग्लिडेन 1813 के सर्दियों में पैदा हुआ था।,E
GW4,T78,जॉसेफ ग्लिडेन उनके अभिनय कौशल के लिए जाना जाता था।,C
GW4,T78,लुसिंडा वॉर्न आखिरी महिला थी जो जॉसेफ ग्लिडेन के साथ थी।,N
GW4,T78,जॉसेफ ग्लिडेन 93 साल की उम्र में निधन हो गया।,E
GW1,T94,जॉन मैककेन 1936 के गर्मियों में पैदा हुआ था।,C
GW1,T94,मेगन जॉन मैककेन के सबसे करीबी बच्चे थे।,N
GW1,T94,जॉन मैककेन 2018 के गर्मियों में निधन हो गया।,E
GW0,T94,जॉन मैककेन 80 वर्ष से कम उम्र तक जीवित रहा।,C
GW0,T94,जॉन मैककेन एक सैन्य आधार पर पैदा हुआ था।,N
GW0,T94,जॉन मैककेन ने कैरोल शेप से पहले सिंडी हेन्सली से शादी की।,E
GW4,T94,जॉन मैककेन को डेमोक्रेटिक पार्टी में शामिल होने के लिए जाना जाता था।,C
GW4,T94,जॉन मैककेन के पास एक भाई है।,N
GW4,T94,जॉन मैककेन पिछले साल गर्मियों में निधन हो गया।,E
GW4,T101,चिक एक बैंड है जिसे बिग ऑरेंज बैंड के रूप में भी जाना जाता था।,C
GW4,T101,अतीत में ‘चिक’ बैंड दो बार टूट चुका है।,N
GW4,T101,"बैंड चिक ज्यादातर डिस्को फंक, आर एंड बी के प्रदर्शन के लिए जाना जाता है।",E
GW1,T101,चिक को मूल रूप से बिग बैनाना ब्रांड के रूप में जाना जाता था।,C
GW1,T101,चिक के सदस्यों ने वॉर्नर ब्रॉस लेबल की तुलना में अटलांटिक लेबल पर संगीत बनाना पसंद किया।,N
GW1,T101,चिक एक तरह से एक बैंड के रूप में कम से कम 40 वर्षों से सक्रिय है।,E
GW0,T101,चिक 40 साल पहले प्रदर्शन करना शुरू कर दिया।,C
GW0,T101,चिक ने अपने संगीत का अधिकांश हिस्सा थे बिग एप्पल बंद के रूप में रिकॉर्ड किया।,N
GW0,T101,चिक कई रिकॉर्ड पर हस्ताक्षर किए गए थे।,E
GW4,T111,स्पेन के चार्ल्स िव और उनके परिवार पिकासो द्वारा चित्रित किया गया था।,C
GW4,T111,चित्र स्पेन के चार्ल्स िव और उनके परिवार को चित्रित करने में कई साल लग गए।,N
GW4,T111,चित्र स्पेन के चार्ल्स िव और उनके परिवार स्पेन में आयोजित किया जाता है।,E
GW0,T111,स्पेन के चार्ल्स िव और उनका परिवार फ्रांस की राजधानी में देखा जा सकता है।,C
GW0,T111,स्पेन के चार्ल्स िव और उनके परिवार को 1801 के सर्दियों में पूरा किया गया था।,N
GW0,T111,स्पेन के चार्ल्स िव और उनके परिवार को पूरा करने में 2 साल से भी कम समय लगा।,E
GW1,T111,स्पेन के चार्ल्स िव और उनके परिवार 20 वीं शताब्दी की शुरुआत में चित्रित किया गया था।,C
GW1,T111,स्पेन के चार्ल्स िव और उनके परिवार एक आदेशित पेंटिंग थी।,N
GW1,T111,स्पेन के चार्ल्स िव और उनका परिवार अपने सबसे लंबे बिंदु पर 10 फीट से अधिक चौड़ा है।,E
GW0,T144,जेनिफर कोनेली एक ब्रिटिश अभिनेत्री है।,C
GW0,T144,जेनिफर कॉनेली ने स्टैनफोर्ड विश्वविद्यालय से अपने स्नातक विश्वविद्यालय प्राप्त किया।,N
GW0,T144,जेनिफर कोनेली उसी राज्य में रहता है जहां वह पैदा हुआ था।,E
GW1,T144,जेनिफर कॉनेली 35 से अधिक वर्षों से अभिनय में सक्रिय है।,C
GW1,T144,जेनिफर कोनेली एक कॉलेज की डिग्री से अधिक है।,N
GW1,T144,जेनिफर कोनेली 1970 के सर्दियों में पैदा हुआ था।,E
GW4,T144,जेनिफर कोनेली कभी भी एक आइवी लीग विश्वविद्यालय में नहीं गया।,C
GW4,T144,जेनिफर कोनेली ने अपना पूरा जीवन न्यूयॉर्क में बिताया है।,N
GW4,T144,जेनिफर कॉनेली के पास केवल एक पति था।,E
GW1,T149,जॉनी कैश 45 से कम वर्षों तक संगीत में सक्रिय रहा।,C
GW1,T149,जॉनी कैश ने विरासत के बजाय कोलंबिया के साथ संगीत बनाना पसंद किया।,N
GW1,T149,जॉनी कैश 1932 के सर्दियों में पैदा हुआ था।,E
GW0,T149,जॉनी कैश 1932 के वसंत में पैदा हुआ था।,C
GW0,T149,जॉनी कैश ने अपनी दूसरी पत्नी जून कार्टर को जीवित रख दिया।,N
GW0,T149,रॉज़ैन कार्टर जॉनी कैश के बच्चे हैं।,E
GW4,T149,जॉनी कैश का जन्म 1932 में हुआ था।,C
GW4,T149,जॉनी कैश अपने करियर के दौरान कम से कम 6 अलग-अलग लेबलों पर था।,N
GW4,T149,जॉनी कैश अब मर चुका है।,E
GW1,T162,जर्सी के बेलीविक में केवल एक मान्यता प्राप्त क्षेत्रीय भाषा है।,C
GW1,T162,"यदि स्टीफन डाल्टन लेफ्टिनेंट गवर्नर के रूप में छोड़ देते हैं, तो जॉन ले फंडर जूनियर उसे बदल देंगे।",N
GW1,T162,जर्सी के बेलीविक में एक आधिकारिक भाषा है।,E
GW4,T162,जर्सी के बेलीविक में सबसे अधिक बोली जाने वाली भाषा फ्रेंच है।,C
GW4,T162,जर्सी के बेलीविक इंग्लैंड के समान धर्म का पालन करते हैं।,N
GW4,T162,जर्सी के बेलीविक स्वतंत्र हैं।,E
GW0,T162,पोलिश जर्सी के बैलिविक में सबसे छोटी जातीय समूह हैं।,C
GW0,T162,इंग्लैंड के चर्च का मुख्यालय जर्सी के बैलिविक में है।,N
GW0,T162,बैलिविक ऑफ़ जर्सी में एशियाई लोगों की तुलना में अधिक फ्रेंच लोग हैं।,E
GW1,T168,फारा इब्राहीम अपने टीवी कैरियर में करीब 50 वर्षों से सक्रिय रहा है।,C
GW1,T168,फारा इब्राहीम एक और टीवी शो में समाप्त हो जाएगा।,N
GW1,T168,फारा इब्राहीम 1991 के गर्मियों में पैदा हुआ था।,E
GW0,T168,फारा इब्राहीम तीस साल से अधिक उम्र का है।,C
GW0,T168,फारा इब्राहीम अपने जीवन के अधिकांश समय ऑस्टिन में रहता है।,N
GW0,T168,फारा इब्राहीम टीवी पर दिखाई दिया है।,E
GW4,T168,फारा इब्राहीम के चार बच्चे हैं।,C
GW4,T168,फारा इब्राहीम एक अभिनेत्री होने के लिए जाना जाता है।,N
GW4,T168,फारा इब्राहीम अयोवा के बाहर रहता है।,E
GW4,T172,"ब्रिज में कम से कम 100,000 लोग रहते हैं।",C
GW4,T172,ब्रिज के शहर में चार पोस्ट कोड हैं।,N
GW4,T172,ब्रूज का क्षेत्र कोड 050 है।,E
GW22,T172,"ब्रिज की जनसंख्या 100,000 से कम है।",C
GW22,T172,ब्रूज बेल्जियम का सबसे अधिक आबादी वाला शहर है।,N
GW22,T172,ब्रूज की घनत्व ९००/कम्य२ से कम है।,E
GW1,T172,ब्रूज की जनसंख्या १००क से कम है।,C
