,annotater_id,table_id,hypothesis,label
0,GW0,T1769,“在彩虹”已经发布了十多年前。,E
1,GW0,T1769,尼格尔·戈德里奇只制作了一张专辑。,N
2,GW0,T1769,“在彩虹中”时间不到40分钟。,C
3,GW1,T1769,花了两年时间才录制了“In Rainbows”。,E
4,GW1,T1769,“在彩虹中”比艺术摇滚更落入艺术波普流派。,N
5,GW1,T1769,“在彩虹”的运行时间超过一个小时。,C
6,GW2,T1769,“In Rainbows”在万圣节前几周发布。,E
7,GW2,T1769,“In Rainbows”有超过10首歌曲。,N
8,GW2,T1769,“In Rainbows”在不到60天内被录制。,C
9,GW0,T1,“布鲁克林”运行时间不到两个小时。,E
10,GW0,T1,“布鲁克林”是2015年最赚钱的电影。,N
11,GW0,T1,“布鲁克林”在票房赚不到6000万美元。,C
12,GW1,T1,“布鲁克林”在票房上赚了大约5000万比其预算多。,E
13,GW1,T1,Finola Dwyer为制作“布鲁克林”做得比Amanda Posey做得更多。,N
14,GW1,T1,“布鲁克林”的运行时间超过两个小时。,C
15,GW3,T1,《布鲁克林》是一部英国电影。,E
16,GW3,T1,“布鲁克林”仅在三个国家发行。,N
17,GW3,T1,“布鲁克林”的运行时间为120分钟。,C
18,GW5,T3,原生草莓含有每份糖分不到5克。,E
19,GW5,T3,原生草莓含有比坏糖更多的好东西。,N
20,GW5,T3,原生草莓含有每份糖超过5克。,C
21,GW2,T3,"根据USDA的说法,400克的含有一个人一天所需的所有锌。",E
22,GW2,T3,草莓在烘烤时会失去维生素C。,N
23,GW2,T3,胡萝卜是低脂肪的。,C
24,GW4,T3,一袋海鲜含有600多卡路里。,E
25,GW4,T3,一份海鲜有大量的脂肪。,N
26,GW4,T3,一个袋子的海鲜是众所周知的非常甜蜜。,C
27,GW0,T5,“查尔斯·弗朗西斯·詹金斯”已经获得了超过一枚勋章。,E
28,GW0,T5,“查尔斯·弗朗西斯·詹金斯”在俄亥俄度过了他的大部分生活。,N
