,annotater_id,table_id,hypothesis,label
0,GW1,T31,Eva Mendes nació en 1974.,C
1,GW1,T31,Eva Mendes y Ryan Gosling estarán casados por el resto de sus vidas,N
2,GW1,T31,La carrera de Eva Mendes en el cine se ha extendido por más de 20 años.,E
3,GW2,T31,Eva Mendes nació en el norte de Estados Unidos.,C
4,GW2,T31,Eva Mendes sigue trabajando como modelo.,N
5,GW2,T31,Eva Mendes tiene dos hijos.,E
6,GW4,T31,Eva Mendes se ha casado con diferentes personas desde 2011.,C
7,GW4,T31,Eva Mendes es conocida por sus habilidades empresariales.,N
8,GW4,T31,Eva Mendes nació en la costa este de Estados Unidos.,E
9,GW1,T46,La carrera de Janet Leigh duró menos de 55 años.,C
10,GW1,T46,Janet Leigh vivió en California toda su vida.,N
11,GW1,T46,Janet Leigh murió en el otoño de 2004.,E
12,GW2,T46,Janet Leigh se casó más de cuatro veces.,C
13,GW2,T46,“Janet Leigh” era un hijo único.,N
14,GW2,T46,“Janet Leigh” era políticamente liberal.,E
15,GW4,T46,Janet Leigh nació en la costa este de Estados Unidos.,C
16,GW4,T46,Janet Leigh vivió toda su vida en California.,N
17,GW4,T46,Janet Leigh sólo se casó varias veces.,E
18,GW2,T47,“Jodie Whittaker” vive en África.,C
19,GW2,T47,Jodie Whittaker tiene una hija.,N
20,GW2,T47,Jodie Whittaker está casada desde hace menos de 14 años.,E
21,GW1,T47,Jodie Whittaker nació en el invierno de 1982.,C
22,GW1,T47,Jodie Whittaker siempre ha vivido en Inglaterra.,N
23,GW1,T47,Jodie Whittaker ha tenido una carrera activa en la actuación desde hace menos de 20 años.,E
24,GW4,T47,Jodie Whittaker se casó antes de los años 2000.,C
25,GW4,T47,Jodie Whittaker pasó algún tiempo en los Estados Unidos actuando.,N
26,GW4,T47,“Jodie Whittaker” sólo tuvo un esposo.,E
27,GW4,T53,Florence Foster Jenkins fue una película producida por Stephen Frears.,C
28,GW4,T53,La película Florence Foster Jenkins fue filmada íntegramente en el Reino Unido.,N
29,GW4,T53,La película Florence Foster Jenkins ganó dinero en la taquilla.,E
30,GW1,T53,Florence Foster Jenkins hizo menos de 25 millones de dólares de ganancias en las cajas.,C
31,GW1,T53,Más de Florence Foster Jenkins se disparó en Francia que en el Reino Unido.,N
32,GW1,T53,Florence Foster Jenkins fue lanzado en primavera y verano de 2016.,E
33,GW2,T53,La película Florence Foster Jenkins tuvo menos de 3 actores estrellas.,C
34,GW2,T53,La película Florence Foster Jenkins fue estrenada por primera vez en Francia.,N
35,GW2,T53,La película Florence Foster Jenkins ganó dinero.,E
36,GW6,T73,Eugene Kaspersky tenía un valor neto de más de un millón de dólares en la primavera de 2017.,C
37,GW6,T73,Natalya Kaspersky tiene dos hijos.,N
38,GW6,T73,Maxim Kaspersky fue el vicepresidente de Kaspersky Lab.,E
39,GW4,T73,“Eugene Kaspersky” no nació en la URSS.,C
40,GW4,T73,Eugene Kaspersky tuvo a sus dos hijos con Natalya Kaspersky,N
41,GW4,T73,Eugene Kaspersky nació como ciudadano de Estados Unidos.,E
42,GW1,T73,Eugene Kaspersky vale más de un millón de dólares.,C
43,GW1,T73,“Eugene Kaspersky” siempre ha vivido en Europa del Este.,N
44,GW1,T73,Eugene Kaspersky nació en el otoño de 1965.,E
45,GW0,T78,Joseph Glidden nació en la parte suroeste de Estados Unidos.,C
46,GW0,T78,Virgil Glidden es el hijo mayor de Joseph Glidden.,N
47,GW0,T78,Joseph Glidden se casó con Clarissa Foster siete años antes de Lucinda Warne.,E
48,GW1,T78,“Joseph Glidden” murió en el noreste.,C
49,GW1,T78,Joseph Glidden tuvo más éxito más tarde en la vida que antes en la vida.,N
50,GW1,T78,Joseph Glidden nació en el invierno de 1813.,E
51,GW4,T78,Joseph Glidden era conocido por sus habilidades de actuación.,C
52,GW4,T78,Lucinda Warne fue la última mujer que estuvo con Joseph Glidden.,N
53,GW4,T78,“Joseph Glidden” falleció cuando tenía 93 años.,E
54,GW1,T94,John McCain nació en el verano de 1936.,C
55,GW1,T94,Meghan fue el hijo más cercano de John McCain.,N
56,GW1,T94,John McCain falleció en el verano de 2018.,E
57,GW0,T94,John McCain vivió hasta los 80 años.,C
58,GW0,T94,John McCain nació en una base militar.,N
59,GW0,T94,John McCain se casó con Carol Shepp antes de Cindy Hensley.,E
60,GW4,T94,John McCain era conocido por estar en el Partido Demócrata.,C
61,GW4,T94,“John McCain” tiene un hermano.,N
62,GW4,T94,John McCain falleció este verano.,E
63,GW4,T101,Chic es una banda que también era conocida como The Big Orange Band.,C
64,GW4,T101,La banda Chic se ha separado dos veces en el pasado.,N
65,GW4,T101,"La banda Chic es conocida por su actuación principalmente Disco, funk, R&B.",E
66,GW1,T101,“Chic” fue originalmente conocido como The Big Banana Brand.,C
67,GW1,T101,Los miembros de Chic preferían hacer música en la etiqueta Atlantic sobre la etiqueta Warner Bros.,N
68,GW1,T101,Chic ha estado activo como banda en una forma u otra desde hace menos de 40 años.,E
69,GW0,T101,Chic comenzó a actuar hace menos de 40 años.,C
70,GW0,T101,Chic grabó la mayor parte de su música como The Big Apple Band.,N
71,GW0,T101,Chic fue firmado a múltiples discos.,E
72,GW4,T111,Charles IV de España y su familia fue pintado por Picasso.,C
73,GW4,T111,La pintura Charles IV de España y su familia tomó varios años para pintar.,N
74,GW4,T111,La pintura Charles IV de España y su familia se lleva a cabo en España.,E
75,GW0,T111,Charles IV de España y su familia se puede ver en la capital de Francia.,C
