annotater_id	table_id	hypothesis	label
GW0	T1769	In Rainbows wurde vor über zehn Jahren veröffentlicht.	E
GW0	T1769	Nigel Godrich hat nur ein Album produziert.	N
GW0	T1769	In Rainbows ist weniger als 40 Minuten lang.	C
GW1	T1769	Es dauerte über zwei Jahre, um In Rainbows aufzunehmen.	E
GW1	T1769	In Rainbows fällt mehr in das Kunst-Pop-Genre als in das Art-Rock-Genre.	N
GW1	T1769	Die Laufzeit von In Rainbows beträgt über eine Stunde.	C
GW2	T1769	In Rainbows wurde einige Wochen vor Halloween veröffentlicht.	E
GW2	T1769	In Rainbows hatte mehr als 10 Tracks.	N
GW2	T1769	In Rainbows wurde in weniger als 60 Tagen aufgenommen.	C
GW0	T1	Brooklyn hat eine Laufzeit unter zwei Stunden.	E
GW0	T1	Brooklyn war der höchste Brutfilm des Jahres 2015.	N
GW0	T1	Brooklyn hat an der Kasse weniger als 60 Millionen Dollar verdient.	C
GW1	T1	Brooklyn machte etwa 50 Millionen mehr an der Kasse, als es das Budget war.	E
GW1	T1	Finola Dwyer hat mehr getan, um Brooklyn zu produzieren als Amanda Posey.	N
GW1	T1	Brooklyn hat eine Laufzeit von mehr als zwei Stunden.	C
GW3	T1	Brooklyn war ein englischer Film.	E
GW3	T1	Brooklyn wurde nur in drei Ländern veröffentlicht.	N
GW3	T1	Brooklyn hat eine Laufzeit von 120 Minuten.	C
GW5	T3	Rohe Haselnüsse enthalten weniger als 5 g Zucker pro Portion.	E
GW5	T3	Rohe Haselnüsse enthalten mehr als schlechte Zucker.	N
GW5	T3	Rohe Haselnüsse enthalten mehr als 5 g Zucker pro Portion.	C
GW2	T3	400 Gramm Filberts enthalten das gesamte Zink, das eine Person an einem Tag benötigt, entsprechend der USDA.	E
GW2	T3	Haselnüsse verlieren Vitamin C, wenn sie geröstet werden.	N
GW2	T3	Haselnüsse sind fettarm.	C
GW4	T3	Eine Tüte Haselnüsse hat über 600 Kalorien.	E
GW4	T3	Eine Portion Haselnüsse hat eine hohe Menge an Fett.	N
GW4	T3	Eine Tüte Haselnüsse ist dafür bekannt, sehr süß zu sein.	C
GW0	T5	Charles Francis Jenkins wurde mit mehr als einer Medaille ausgezeichnet.	E
GW0	T5	Charles Francis Jenkins verbrachte den größten Teil seines Lebens in Ohio.	N
GW0	T5	Charles Francis Jenkins hat zu seinen Lebzeiten nie einen Film gesehen.	C
GW2	T5	Charles Francis Jenkins wurde im 19. Jahrhundert geboren.	E
GW2	T5	Charles Francis Jenkins lebte in Ohio, bis er 21 war.	N
GW2	T5	Charles Francis Jenkins gewann nie Medaillen.	C
GW1	T5	Charles Francis Jenkins erhielt Auszeichnungen für seine Arbeit in zwei verschiedenen Jahrhunderten.	E
GW1	T5	Charles Francis Jenkins-Patente waren meist mit Elektronik verwandt.	N
GW1	T5	Charles Francis Jenkins starb im Herbst 1934.	C
GW1	T6	Kansas ist seit über 45 Jahren als Band aktiv.	E
GW1	T6	Die Bandmitglieder von Kansas waren mit MCA als Label glücklicher als mit Inside Out.	N
GW1	T6	Kansas hat auf mehr als vier Plattenlabels Musik gemacht.	C
GW6	T6	Kansas wurde bei mehreren Labels signiert.	E
GW6	T6	Kansas ist derzeit beim Label Inside Out unter Vertrag.	N
GW6	T6	Kansas begann Aktivitäten vor den siebziger Jahren.	C
GW7	T6	Sie sind immer noch zusammen.	E
GW7	T6	Sie haben gerade ein Album beendet.	N
GW7	T6	Sie sind aus Texas.	C
GW0	T6	Kansas ist seit über dreißig Jahren aktiv.	E
GW0	T6	Kansas nahm die Band die meisten ihrer Musik in Kansas auf.	N
GW0	T6	Kansas wurde an der Westküste der Vereinigten Staaten gebildet.	C
GW3	T7	Flicker wurde im Herbst 2017	E
GW3	T7	Flicker wurde in London und den Vereinigten Staaten veröffentlicht	N
GW3	T7	Flicker war ein Multi-Genre-Album mit Songs aus Rock, Pop, Jazz und anderen Genres.	C
GW1	T7	Flicker wurde im Herbst 2017 veröffentlicht.	E
GW1	T7	Mehr von der Aufnahme auf Flicker wurde im Echo Studio als Blackbird Studio gemacht.	N
GW1	T7	Die Zeit, die es braucht, um Flicker zu hören, ist über eine Stunde.	C
GW0	T7	Das Album Flicker wurde in mehreren Studios aufgenommen.	E
GW0	T7	Julian Bunetta war der ausführende Produzent von Flicker.	N
GW0	T7	Flicker ist weniger als ein Jahr alt.	C
GW8	T8	Jeffrey Dahmer wurde in Wisconsin geboren.	E
GW8	T8	Er wurde wegen Körperverletzung verurteilt.	N
GW8	T8	Er ist immer noch wegen seiner Verbrechen im Gefängnis.	C
GW9	T8	Jeffrey Dahmer wurde wegen mehrerer Verbrechen verurteilt.	E
GW9	T8	Jeffrey Dahmer wurde von einem anderen Gefangenen getötet.	N
GW9	T8	Jeffrey Dahmer wurde entlassen, nachdem sie zwei Leben	C
GW4	T8	Jeffrey Dahmer war dafür bekannt, Menschen zu töten.	E
GW4	T8	Jeffrey Dahmer verbrachte sein ganzes Leben in Wisconsin.	N
GW4	T8	Jeffrey Dahmer war eine Person, die starb, als sie vierzig waren.	C
GW0	T8	Jeffrey Dahmer war unter zwei Metern hoch.	E
GW0	T8	Jeffrey Dahmer wurde von einem Gefängniswärter ermordet.	N
GW0	T8	Jeffrey Dahmer wurde mit der Todesstrafe	C
GW10	T9	Seit 1963 engagiert sich Jeffrey Lynne aktiv im Beruf des Musikers, Singer-Songwriters und Plattenproduzenten.	E
GW10	T9	Jeffrey Lynne besitzt ftmusic.com.	N
GW10	T9	Jeffrey Lynne Alter unter 70.	C
GW5	T9	Jeffrey Lynne hatte mehrere Spitznamen.	E
GW5	T9	Jeffrey Lynne tourte mit George Harrison.	N
GW5	T9	Jeffrey Lynne wurde während seiner gesamten Karriere bei einem einzigen Label unter Vertrag genommen.	C
GW1	T9	Jeff Lynne wurde im Winter 1947 geboren.	E
GW1	T9	Jeff Lynne zog es vor, mit United Artists Musik zu machen, gegenüber Sony BMG.	N
GW1	T9	Jeff Lynne ist seit mehr als 60 Jahren in der Musik tätig.	C
