,annotater_id,table_id,hypothesis,label
0,GW74,T2045,大多数幸存者都是船员。,E
1,GW74,T2045,"其中5人死亡,包括1名乘客。",N
2,GW74,T2045,幸存者比船员多。,C
3,GW52,T2045,“1950年英国哥伦比亚B36坠毁”的大多数受害者都幸存下来。,E
4,GW52,T2045,1950年英国科鲁伊比亚B-36坠机事故报告发动机问题在坠机前。,N
5,GW52,T2045,1950 年的 B-36 坠毁是由于鸟类进入发动机湾。,C
6,GW95,T2045,每16名机组人员中就有1名乘客。,E
7,GW95,T2045,所有遇难者都是船员。,N
8,GW95,T2045,乘客多于机组人员死亡。,C
9,GW86,T2046,“1999年江西地震”破坏或破坏了10万多座建筑物。,E
10,GW86,T2046,“1999年江西地震”造成2415多人死亡。,N
11,GW86,T2046,“1999年吉吉地震”摧毁了比破坏更多的建筑物。,C
12,GW95,T2046,吉吉地震发生在亚洲。,E
13,GW95,T2046,大多数受损的建筑物是房屋。,N
14,GW95,T2046,这一地震发生在千年初。,C
15,GW74,T2046,当地时间与UTC时间有6个小时的差异,E
16,GW74,T2046,已有29人失踪20年,N
17,GW74,T2046,UTC 时间和位置日期是相同的,C
18,GW12,T2047,“2004年印度洋地震和海啸”于12月26日在印度洋沿海地区发生。,E
19,GW12,T2047,“2004年印度洋地震和海啸”的总损失超过15亿美元。,N
20,GW12,T2047,“2004年印度洋地震和海啸”造成的死亡人数低于20万。,C
21,GW28,T2047,“2004年印度洋地震和海啸”发生在亚洲。,E
22,GW28,T2047,“2004年印度洋地震和海啸”像欧洲一样遥远。,N
23,GW28,T2047,“2004年印度洋地震和海啸”的确切日期和时间尚未确定。,C
24,GW52,T2047,2004年地震和海啸造成20多万人死亡。,E
25,GW52,T2047,2004年的地震和海啸在几个大洲被感受到。,N
26,GW52,T2047,2004年的地震或海啸被描述为极端地震。,C
27,GW63,T2048,"2004年后,印度尼西亚发生了一场严重的地震。",E
28,GW63,T2048,印度尼西亚的部分地区受到尼亚斯 - 西米卢雷地震的影响。,N
29,GW63,T2048,"在亚洲,只有轻度的地震发生。",C
30,GW12,T2048,“2005年尼亚斯 - 西米卢伊地震”发生在2005年当地时间23点09分。,E
31,GW12,T2048,“2005年尼亚斯 - 西米卢伊地震”影响了印度尼西亚地区。,N
32,GW12,T2048,因“2005年尼亚斯 - 西米卢伊地震”造成915人受伤和340人死亡。,C
33,GW28,T2048,"“2005年尼亚斯 - 西米卢伊地震”发生在亚洲,并在夜间发生。",E
34,GW28,T2048,“2005年尼亚斯 - 西米卢伊地震”没有造成任何海啸。,N
35,GW28,T2048,“2005年尼亚斯 - 西米卢伊地震”无法准确地确定。,C
36,GW52,T2049,四川地震损失超过1000亿美元。,E
37,GW52,T2049,“2008年四川地震”造成的破坏至今尚未修复。,N
38,GW52,T2049,地震从未超过X强度。,C
39,GW74,T2049,有 UTC 时间和当地时间的 8 小时差异,E
40,GW74,T2049,"87,587 都死于 14:28:01 CST",N
41,GW74,T2049,UTC 时间和当地时间的日期是不同的,C
42,GW1,T2049,四分之一百万人在“2008年四川地震”中受伤。,E
43,GW1,T2049,“2008年四川地震”是唯一与长曼山错误有关的地震。,N
44,GW1,T2049,2008年冬季发生的“2008年四川地震”。,C
45,GW63,T2050,"超过6000人受伤,2011年3月的地震造成了超过3亿美元的损失。",E
46,GW63,T2050,"即使在2018年3月6日发生在日本2011年的地震之后,也出现了后冲击。",N
47,GW63,T2050,USGS-ANSS ComCat 仅与日本和太平洋边缘相关,C
48,GW1,T2050,“2011年东京地震和海啸”造成了超过四分之一万亿美元的损失。,E
49,GW1,T2050,“2011年东北大地震和海啸”是第一个袭击米亚科、伊瓦特、东北的海啸。,N
50,GW1,T2050,2011年“东京地震和海啸”造成3万多人死亡。,C
51,GW105,T2050,丰田地震和海啸是春季发生的最强烈风暴之一。,E
52,GW105,T2050,太平洋边缘受到了东京地震和海啸的最大损害。,N
