,annotater_id,table_id,hypothesis,label
0,GW1,T31,Eva Mendes est né à l'automne 1974.,C
1,GW1,T31,Eva Mendes et Ryan Gosling resteront mariés jusqu'à la fin de leur vie.,N
2,GW1,T31,La carrière de Eva Mendes dans le cinéma s'est étendue sur plus de 20 ans.,E
3,GW2,T31,« Eva Mendes » est née dans le nord des États-Unis.,C
4,GW2,T31,Eva Mendes travaille encore à titre de modèle.,N
5,GW2,T31,« Eva Mendes » a deux enfants.,E
6,GW4,T31,« Eva Mendes » est mariée à différentes personnes depuis 2011.,C
7,GW4,T31,« Eva Mendes » est connue pour ses compétences en affaires.,N
8,GW4,T31,Eva Mendes est né sur la côte est des États-Unis.,E
9,GW1,T46,La carrière de Janet Leigh s'est étendue à moins de 55 ans.,C
10,GW1,T46,« Janet Leigh » a vécu en Californie toute sa vie.,N
11,GW1,T46,« Janet Leigh » est décédée à l'automne 2004.,E
12,GW2,T46,« Janet Leigh » a été mariée plus de quatre fois.,C
13,GW2,T46,« Janet Leigh » était un seul enfant.,N
14,GW2,T46,« Janet Leigh » était politiquement libérale.,E
15,GW4,T46,« Janet Leigh » est née sur la côte est des États-Unis.,C
16,GW4,T46,« Janet Leigh » a vécu toute sa vie en Californie.,N
17,GW4,T46,« Janet Leigh » n'a été mariée que plusieurs fois.,E
18,GW2,T47,Jodie Whittaker vit en Afrique.,C
19,GW2,T47,Jodie Whittaker a une fille.,N
20,GW2,T47,Jodie Whittaker est mariée depuis moins de 14 ans.,E
21,GW1,T47,Jodie Whittaker est née en hiver 1982.,C
22,GW1,T47,Jodie Whittaker a toujours vécu en Angleterre.,N
23,GW1,T47,« Jodie Whittaker » a eu une carrière active en acting depuis moins de 20 ans.,E
24,GW4,T47,Jodie Whittaker est mariée avant les années 2000.,C
25,GW4,T47,Jodie Whittaker a passé un certain temps aux États-Unis à jouer.,N
26,GW4,T47,Jodie Whittaker n'a qu'un seul mari.,E
27,GW4,T53,« Florence Foster Jenkins » est un film réalisé par Stephen Frears.,C
28,GW4,T53,Le film Florence Foster Jenkins a été réalisé entièrement au Royaume-Uni.,N
29,GW4,T53,Le film Florence Foster Jenkins a gagné de l'argent au box office.,E
30,GW1,T53,Florence Foster Jenkins a gagné moins de 25 millions de dollars au box office.,C
31,GW1,T53,Plus de Florence Foster Jenkins a été filmé en France que au Royaume-Uni.,N
32,GW1,T53,Florence Foster Jenkins a été diffusé au printemps et à l'été 2016.,E
33,GW2,T53,Le film «Florence Foster Jenkins» comptait moins de trois acteurs.,C
34,GW2,T53,Le film Florence Foster Jenkins a été diffusé pour la première fois en France.,N
35,GW2,T53,Le film Florence Foster Jenkins gagne de l'argent.,E
36,GW6,T73,Eugene Kaspersky avait une valeur nette de plus d'un million de dollars au printemps 2017.,C
37,GW6,T73,Natalya Kaspersky a deux enfants.,N
38,GW6,T73,Maxim Kaspersky était vice-président du Kaspersky Lab.,E
39,GW4,T73,Eugene Kaspersky n'est pas né dans l'URSS.,C
40,GW4,T73,Eugene Kaspersky avait ses deux enfants avec Natalya Kaspersky,N
41,GW4,T73,Eugene Kaspersky est né un citoyen des États-Unis.,E
42,GW1,T73,Eugene Kaspersky vaut plus d'un milliard de dollars.,C
43,GW1,T73,Eugene Kaspersky a toujours vécu en Europe de l'Est.,N
44,GW1,T73,Eugene Kaspersky est né à l'automne 1965.,E
45,GW0,T78,Joseph Glidden est né dans le sud-ouest des États-Unis.,C
46,GW0,T78,Virgil Glidden est le plus jeune enfant de Joseph Glidden.,N
47,GW0,T78,Joseph Glidden est marié à Clarissa Foster sept ans avant Lucinda Warne.,E
