annotater_id,table_ids,hypothesis,label
GW0,T1769,In Rainbows는 10 년 전에 출시되었습니다.,E
GW0,T1769,나이겔 고드리히는 단 한 앨범만 제작했다.,N
GW0,T1769,In Rainbows는 40 분 미만의 길이입니다.,C
GW1,T1769,In Rainbows를 녹음하는 데 2년이 걸렸습니다.,E
GW1,T1769,In Rainbows는 Art Rock One보다 더 많은 아트 팝 장르에 속합니다.,N
GW1,T1769,Rainbows의 실행 시간은 1 시간 이상입니다.,C
GW2,T1769,In Rainbows는 할로윈 전에 몇 주간 출시되었습니다.,E
GW2,T1769,In Rainbows는 10 개 이상의 트랙을 가지고있었습니다.,N
GW2,T1769,In Rainbows는 60 일 이내에 녹음되었습니다.,C
GW0,T1,브루클린은 2 시간 이하의 실행 시간을 가지고 있습니다.,E
GW0,T1,‘브루클린’은 2015년 가장 많이 팔린 영화였다.,N
GW0,T1,브루클린은 상점에서 60 백만 달러 미만을 벌었다.,C
GW1,T1,브루클린은 예산보다 상점에서 약 50 백만 달러를 더 벌었습니다.,E
GW1,T1,Finola Dwyer는 Amanda Posey보다 Brooklyn을 제작하기 위해 더 많은 것을했습니다.,N
GW1,T1,브루클린은 2 시간 이상의 실행 시간을 가지고 있습니다.,C
GW3,T1,브루클린은 영국 영화였다.,E
GW3,T1,브루클린은 3 개국에서만 출시되었습니다.,N
GW3,T1,‘브루클린’은 120분의 런타임을 가지고 있다.,C
GW5,T3,Raw hazelnuts는 서빙 당 5g 미만의 설탕을 포함합니다.,E
GW5,T3,Raw hazelnuts에는 나쁜 설탕보다 더 많은 좋은 설탕이 들어 있습니다.,N
GW5,T3,Raw hazelnuts는 서빙 당 5g 이상의 설탕을 포함합니다.,C
GW2,T3,400 그램의 필베르트는 USDA에 따르면 하루에 필요한 모든 아연을 포함합니다.,E
GW2,T3,호박은 튀기면 비타민 C를 잃는다.,N
GW2,T3,염소는 지방이 낮습니다.,C
GW4,T3,한 가방의 헤이즐 트는 600 칼로리 이상을 가지고 있습니다.,E
GW4,T3,한 잔의 Hazelnuts는 높은 양의 지방을 가지고 있습니다.,N
GW4,T3,Hazelnuts의 가방은 매우 달콤한 것으로 알려져 있습니다.,C
GW0,T5,찰스 프랜시스 제킨스는 1 개 이상의 메달을 수상했습니다.,E
GW0,T5,찰스 프랜시스 젠킨스 (Charles Francis Jenkins)는 오하이오에서 평생을 보냈습니다.,N
GW0,T5,찰스 프랜시스 젠킨스 (Charles Francis Jenkins)는 평생 영화를 본 적이 없습니다.,C
GW2,T5,찰스 프랜시스 젠킨스(Charles Francis Jenkins)는 19세기에 태어났다.,E
GW2,T5,찰스 프랜시스 제킨스는 21살이 될 때까지 오하이오에 살았다.,N
GW2,T5,찰스 프랜시스 젠킨스 (Charles Francis Jenkins)는 결코 메달을 획득하지 않았다.,C
GW1,T5,Charles Francis Jenkins는 2 개의 다른 세기에 그의 작품에 대한 상을 받았습니다.,E
GW1,T5,Charles Francis Jenkins 특허는 대부분 전자 제품과 관련이있었습니다.,N
GW1,T5,찰스 프랜시스 제킨스는 1934년 가을에 사망했다.,C
GW1,T6,Kansas는 45년 넘게 밴드로서 활동해 왔습니다.,E
GW1,T6,Kansas 밴드 멤버들은 Inside Out보다 MCA 라벨로 더 행복했습니다.,N
GW1,T6,Kansas는 4 개 이상의 레코드 레이블에서 음악을 만들었습니다.,C
GW6,T6,Kansas는 여러 라벨에 서명되었습니다.,E
GW6,T6,Kansas는 현재 Inside Out 라벨에 서명하고 있습니다.,N
GW6,T6,Kansas는 1970 년대 이전에 활동을 시작했습니다.,C
GW7,T6,그들은 여전히 함께,E
GW7,T6,방금 앨범을 마쳤다.,N
GW7,T6,그들은 텍사스에서 온다.,C
GW0,T6,Kansas는 30 년 이상 활동 해 왔습니다.,E
GW0,T6,Kansas 그룹은 Kansas에서 그들의 음악의 대부분을 녹음했다.,N
GW0,T6,Kansas는 미국 서부 해안에서 형성되었습니다.,C
GW3,T7,Flicker는 2017 년 가을에 출시되었습니다,E
GW3,T7,Flicker는 런던과 미국에서 출시되었습니다.,N
GW3,T7,"Flicker는 록, 팝, 재즈 및 기타 장르의 노래를 포함한 멀티 장르 앨범이었다.",C
GW1,T7,Flicker는 2017 년 가을에 출시되었습니다.,E
GW1,T7,Flicker에 대한 녹음의 대부분은 Blackbird Studio보다 Echo Studio에서 이루어졌습니다.,N
GW1,T7,Flicker를 듣는 데 걸리는 시간은 1 시간 이상입니다.,C
GW0,T7,Flicker앨범은 여러 스튜디오에서 녹음되었습니다.,E
GW0,T7,Julian Bunetta는 Flicker의 집행 프로듀서였습니다.,N
GW0,T7,“Flicker”는 1 년 미만입니다.,C
GW8,T8,‘제프리 다머’는 위스콘신에서 태어났다.,E
