annotater_id,table_ids,hypothesis,label
GW74,T2045,생존자 대부분은 승무원이었다.,E
GW74,T2045,승객 1명 포함 5명 사망,N
GW74,T2045,승무원보다 생존자가 더 많았다.,C
GW52,T2045,1950년 영국 콜롬비아 B-36 추락 피해자 대부분이 살아남았다.,E
GW52,T2045,1950년 영국의 Coluimbia B-36 추락 사고는 추락 전에 엔진 문제를 보고했다.,N
GW52,T2045,1950년 B-36의 사고는 엔진 베이에 새들이 들어오는 것이었다.,C
GW95,T2045,승무원 16명당 한 명의 승객이 있었다.,E
GW95,T2045,사망자들은 모두 승무원이었다.,N
GW95,T2045,승무원보다 승객이 더 많이 사망했다.,C
GW86,T2046,1999년 지지 지진은 10만 건물 이상을 손상하거나 파괴했다.,E
GW86,T2046,1999년 지지 지진은 2415명이 넘는 목숨을 잃었다.,N
GW86,T2046,1999년 지지 지진은 건물이 손상된 것보다 더 많은 건물을 파괴했다.,C
GW95,T2046,지지 지진은 아시아에서 일어났다.,E
GW95,T2046,손상된 대부분의 건물은 주택이었다.,N
GW95,T2046,이 지진은 천년대 초에 일어났다.,C
GW74,T2046,현지 시간은 UTC 시간과 6 시간 차이가 있습니다.,E
GW74,T2046,지난 20년간 29명이 실종됐다.,N
GW74,T2046,UTC 시간의 날짜와 위치 날짜는 동일합니다.,C
GW12,T2047,지난 12월 26일 인도양 해안 지역에서 일어난 2004년 인도양 지진과 지진.,E
GW12,T2047,2004 인도양 지진과 화산으로 인한 총 손해는 15 억 달러 이상이었다.,N
GW12,T2047,폭력적인 2004 인도양 지진과 지진의 원인은 2 만 명 미만의 사망자를 남겼다.,C
GW28,T2047,“2004년 인도양 지진과 지진”은 아시아에서 일어났다.,E
GW28,T2047,“2004년 인도양 지진과 지진”은 유럽만큼이나 멀리서 느껴졌다.,N
GW28,T2047,2004년 인도양 지진과 지진의 정확한 날짜와 시간은 밝혀지지 않았다.,C
GW52,T2047,2004 년 지진 / tsunami는 2 만 명이 넘는 사람들을 죽였다.,E
GW52,T2047,2004 년 지진 / 지진은 여러 대륙에서 느껴졌습니다.,N
GW52,T2047,2004 년의 지진 / tsunami는 극단적 인 지진으로 특징 지어졌습니다.,C
GW63,T2048,2004년 이후 인도네시아에 심각한 지진이 일어났다.,E
GW63,T2048,인도네시아의 일부만이 Nias-Simeulue 지진에 영향을 받았습니다.,N
GW63,T2048,아시아에서는 가벼운 지진이 발생했다.,C
GW12,T2048,2005 Nias-Simeulue 지진은 2005 년 현지 시간 23:09.,E
GW12,T2048,2005년 인도네시아에서 일어난 니아스-시메루에 지진이 인도네시아 지역에 영향을 미쳤다.,N
GW12,T2048,2005 Nias-Simeulue 지진의 결과로 915 명의 부상자와 340 명의 사망자가있었습니다.,C
GW28,T2048,2005 Nias-Simeulue 지진은 아시아에 위치하고 밤에 충돌했습니다.,E
GW28,T2048,2005 Nias-Simeulue 지진은 tsunami를 일으키지 않았습니다.,N
GW28,T2048,2005 Nias-Simeulue 지진은 정확하게 파악할 수 없었습니다.,C
GW52,T2049,시후안 지진은 100억 달러 이상의 피해를 입었다.,E
GW52,T2049,2008년 시후안 지진은 아직도 수리되지 않은 손상을 입었다.,N
GW52,T2049,지진은 X 강도를 초과한 적이 없다.,C
GW74,T2049,UTC 시간과 현지 시간의 8 시간 차이가 있습니다.,E
GW74,T2049,"87,587 명은 모두 14:28:01 CST에서 사망했습니다.",N
GW74,T2049,UTC 시간과 현지 시간의 날짜는 다릅니다.,C
GW1,T2049,2008년 시슈안 지진으로 인해 4백만 명이 넘는 사람들이 부상을 입었다.,E
GW1,T2049,2008년 시후안 지진은 롱맨산 탓과 연관된 유일한 지진이다.,N
GW1,T2049,2008년 겨울에 일어난 ‘시후안 지진’이다.,C
GW63,T2050,6천 명이 넘는 사람들이 부상을 당했으며 2011년 3월 지진으로 300억 달러 이상의 손해가 발생했습니다.,E
GW63,T2050,2018년 3월 6일 일본에서 일어난 2011년 지진 이후에도 후격이 있었다.,N
GW63,T2050,USGS-ANSS ComCat은 일본과 태평양 지역에만 관련되어 있습니다.,C
GW1,T2050,2011 토호쿠 지진과 지진은 4 억 달러 이상의 손해를 유발했습니다.,E
GW1,T2050,"2011 Tōhoku 지진과 지진은 Miyako, Iwate, Tōhoku에 영향을 미치는 최초의 지진이었다.",N
GW1,T2050,"30,000명 이상의 사망자가 2011년 토고쿠 지진과 지진에 의해 발생했다.",C
GW105,T2050,토고쿠 지진과 지진은 봄에 발생한 가장 폭력적인 폭풍 중 하나였습니다.,E
GW105,T2050,태평양 지역은 토호쿠 지진과 지진으로 인해 가장 많은 피해를 입었습니다.,N
GW105,T2050,토고쿠 지진과 지진으로 수백만 명이 실종되었다.,C
GW52,T2051,2016 에콰도르 지진은 500 명이 넘는 사망자를 유발했습니다.,E
GW52,T2051,2016 에콰도르 지진은 미국에서 느껴졌다.,N
GW52,T2051,2016 에콰도르 지진은 극단적인 지진으로 분류되었습니다.,C
