,annotater_id,table_id,hypothesis,label
0,GW0,T12,Aksel V. Johannesen dien in die regering van die Faroe-eilande.,E
1,GW0,T12,Meer mense in Faroe-eilande praat Deens as Faroese.,N
2,GW0,T12,Faroe-eilande het slegs een amptelike taal.,C
3,GW1,T12,Die Faroe-eilande het meer as een amptelike taal.,E
4,GW1,T12,"As die Hoë Kommissaris in die Faroe-eilande sterf, dan sal die premier daardie rol oorneem.",N
5,GW1,T12,Die Faroe-eilande het meer as een amptelike godsdiens.,C
6,GW4,T12,Die monarg van die Faeröe-eilande is Margethe II.,E
7,GW4,T12,Baie mense op die Faroe-eilande praat Faroese.,N
8,GW4,T12,Die Faroë-eilande word gelei deur Lene Moyell Johnansen.,C
9,GW0,T13,“Fearless” is meer as 50 minute lank.,E
10,GW0,T13,Fearless was Taylor Swift se tweede vrylating.,N
11,GW0,T13,Scott Borchetta het 'n produksie van Fearless geproduseer.,C
12,GW4,T13,Die album Fearless is in die winter van 2008 vrygestel.,E
13,GW4,T13,Scott Borchetta werk regstreeks aan Fearless.,N
14,GW4,T13,Die album Fearless was meer as 'n uur lank.,C
15,GW1,T13,Die opname van Fearless spandeer oor twee jaar.,E
16,GW1,T13,Taylor Swift het meer op die produksie-kant van dinge gedoen as Nathan Chapman.,N
17,GW1,T13,Fearless is in die lente van 2008 vrygestel.,C
18,GW1,T14,Flatliners is redelik naby twee uur lank.,E
19,GW1,T14,Rick Bieber het meer geld in Flatliners gegee as Michael Douglas.,N
20,GW1,T14,Flatliners het 50 miljoen meer as sy begroting by die kassa gemaak.,C
21,GW4,T14,Flatliners was 'n film wat in staat was om geld op die kassa te net.,E
22,GW4,T14,Flatliners is hoofsaaklik geproduseer deur Michael Douglas.,N
23,GW4,T14,Flatliners was 'n film wat meer as twee uur lank was.,C
24,GW0,T14,Flatliners het meer as verdubbel wat dit gekos het om by die kassa te maak.,E
25,GW0,T14,Flatliners was Peter Filardi se eerste skryfkrediet.,N
26,GW0,T14,Flatliners is in die winter van 1990 vrygestel.,C
27,GW1,T17,Bryce Dallas Howard is al ongeveer 30 jaar akteur.,E
28,GW1,T17,Bryce Dallas Howard hou meer van Cheryl Alley as Ron Howard.,N
29,GW1,T17,Bryce Dallas Howard is in die herfs van 1981 gebore.,C
30,GW4,T17,Bryce Dallas Howard is gebore op die westekust van die VSA.,E
31,GW4,T17,Bryce Dallas Howard het vir 'n lang tyd saam met Ron Howard geleef.,N
32,GW4,T17,Bryce Dallas Howard werk sedert 1981.,C
33,GW2,T17,Bryce Dallas Howard is al meer as 20 jaar akteur.,E
34,GW2,T17,Bryce Dallas Howard se eerste aktiewe werk was in 'n graanwinkel.,N
35,GW2,T17,Bryce Dallas Howard het drie seuns.,C
36,GW4,T20,Die rappers Flatbush Zombies het hul begin op die oostkust.,E
37,GW4,T20,Die rappers Flatbush Zombies is onderteken deur 'n groot label.,N
38,GW4,T20,Die rappers Flatbush Zombies is bekend vir optrede met rock bands.,C
39,GW0,T20,Flatbush Zombies maak musiek vir meer as vyf jaar nou.,E
40,GW0,T20,Flatbush Zombies het saam met rappers buite New York gewerk.,N
41,GW0,T20,Flatbush Zombies is onderteken aan RCA rekords.,C
42,GW1,T20,Flatbush Zombies word gedeeltelik genoem na die stad waaruit hulle kom.,E
43,GW1,T20,Flatbush Zombies verkies om musiek te maak met RecordsWarner oor The Glorious Dead.,N
44,GW1,T20,Flatbush Zombies is aktief as 'n band vir meer as 10 jaar.,C
45,GW1,T29,Bullet for My Valentine was vroeër bekend as Jeff Killed John.,E
46,GW1,T29,Jeff Killed John het dieselfde soort musiek gemaak wat Bullet for My Valentine uiteindelik gemaak het.,N
47,GW1,T29,Bullet for My Valentine is al meer as 25 jaar as 'n band aktief.,C
48,GW4,T29,Bullet for My Valentine is 'n band wat sedert die einde van die 1990's speel.,E
49,GW4,T29,Die band Bullet for My Valentine is die gewildste in die Verenigde Koninkryk.,N
50,GW4,T29,Die band Bullet for My Valentine is bekend vir die speel van popmusiek.,C
51,GW0,T29,Bullet for My Valentine is 'n band uit Europa.,E
52,GW0,T29,Bullet for My Valentine het al sedert 1998 elke jaar musiek vrygestel.,N
53,GW0,T29,Bullet for My Valentine het slegs musiek vir RCA rekords vrygestel.,C
54,GW0,T64,Equestrian Portrait of Charles I is geleë in Engeland.,E
55,GW0,T64,Anthony van Dyck het meer as 'n jaar geneem om Equestrian Portrait of Charles I te voltooi.,N
56,GW0,T64,Equestrian Portrait of Charles I is minder as 100 duim breed.,C
57,GW1,T64,Equestrian Portrait of Charles I is in die 17de eeu geverf.,E
58,GW1,T64,Equestrian Portrait of Charles I is geleen aan die National Gallery in Londen.,N
59,GW1,T64,Die langste kant van Equestrian Portrait of Charles I meet minder as 11 voet lank.,C
60,GW4,T64,Die Equestrian Portrait of Charles I is deur Anthony van Dyck voltooi.,E
61,GW4,T64,Die Equestrian Portrait of Charles I is in Londen geverf.,N
62,GW4,T64,Die Equestrian Portrait of Charles I word in 'n museum in Parys bewaar.,C
63,GW4,T68,Die band Jet is gevorm in Australië.,E
64,GW4,T68,Die musikante in Jet het nie enige musiek tussen 2012 en 2016 geproduseer nie.,N
65,GW4,T68,"Nadat hulle in 2012 geskei is, het Jet nooit weer saam gekom nie.",C
66,GW0,T68,Jet het 'n vier-jaar-pause van die optrede geneem.,E
67,GW0,T68,Jet het hul eerste album in 2001 vrygestel.,N
68,GW0,T68,Jet het meer as vyf jaar gelede ophou optree.,C
69,GW1,T68,Jet is 'n band vir meer as 10 jaar.,E
70,GW1,T68,Jet beskou hulself meer as alternatiewe rock as indie rock.,N
71,GW1,T68,Jet het musiek gemaak vir 5 of meer platenmaatskappye.,C
72,GW1,T74,Katharine McPhee is op die Westkust gebore.,E
73,GW1,T74,Katharine McPhee hou daarvan om liedjies te skryf meer as wat sy hulle uitvoer.,N
74,GW1,T74,Katharine McPhee is al meer as 20 jaar aktief.,C
75,GW0,T74,Katharine McPhee kom van die westekust van die VSA.,E
76,GW0,T74,Katharine McPhee skryf elke liedjie wat sy optree.,N
77,GW0,T74,Katharine McPhee is al meer as twintig jaar akteur.,C
78,GW4,T74,Katharine McPhee is gebore op die westekust van die Verenigde State.,E
79,GW4,T74,Katharine McPhee is bekend om 'n R & B sanger te wees.,N
80,GW4,T74,Katharine McPhee het meer as 7 rekords label.,C
81,GW0,T104,Die E Street Band is van die Westkust van die VSA.,E
82,GW0,T104,Die E Street Band het al sy oorspronklike lede.,N
83,GW0,T104,E Street band is van die hoofstad van New Jersey.,C
84,GW1,T104,Die E Street Band is gevorm op die Oos-Kust.,E
85,GW1,T104,Die E Street Band sal voortgaan om musiek te speel totdat sy lede sterf.,N
86,GW1,T104,Die E Street Band is al meer as 50 jaar aktief as 'n band.,C
87,GW4,T104,Die E Street Band is gevorm op die oostkust van die VSA.,E
88,GW4,T104,Bruce Springsteen het baie gewerk met die E Street Band.,N
89,GW4,T104,Die E Street Band het in 1999 geskei.,C
90,GW1,T137,Hawkwind is aktief as 'n band vir ongeveer 50 jaar.,E
91,GW1,T137,Hawkwind verander name baie as gevolg van kopieregte.,N
92,GW1,T137,Hawkwind was altyd die naam van die band.,C
93,GW4,T137,Die band Hawkwind het begin sing in 1969.,E
94,GW4,T137,Die band Hawkwind het buite Londen Engeland gereis.,N
95,GW4,T137,Die band Hawkwind is bekend vir optrede met Motley Crue.,C
96,GW0,T137,“Hawkwind” speel al meer as 40 jaar.,E
97,GW0,T137,Hawkwind was bekend as die Elwe van Silbury Hill vir die meeste van hul loopbaan.,N
98,GW0,T137,Hawkwind is 'n Noord-Amerikaanse band.,C
99,GW4,T146,Jeff Bridges is 'n performer sedert hulle 2 jaar oud was.,E
