annotater_id,table_ids,hypothesis,label
GW0,T1769,इन रैनबॉब्स को दस साल पहले रिलीज किया गया था।,E
GW0,T1769,निगेल गोदरीच ने केवल एक एल्बम का उत्पादन किया है।,N
GW0,T1769,इन रैनबॉब्स 40 मिनट से कम लंबा है।,C
GW1,T1769,इन रैनबॉब्स को रिकॉर्ड करने में दो साल लग गए।,E
GW1,T1769,"इंड रेनबॉव्स कला पॉप शैली में शामिल है, यह कला रॉक एक की तुलना में अधिक करता है।",N
GW1,T1769,इन रैनबॉब्स का दौरा समय एक घंटे से अधिक है।,C
GW2,T1769,इन रैनबॉब्स को हेलोवीन से कुछ हफ्तों पहले जारी किया गया था।,E
GW2,T1769,इन रैनबॉब्स में 10 से अधिक ट्रैक थे।,N
GW2,T1769,इन रैनबॉब्स को 60 दिनों से भी कम समय में रिकॉर्ड किया गया था।,C
GW0,T1,ब्रोक्लिन का समय दो घंटे से कम है।,E
GW0,T1,ब्रोक्लिन 2015 की सबसे ज्यादा कमाई वाली फिल्म थी।,N
GW0,T1,ब्रोक्लिन ने बॉक्स ऑफिस पर 60 मिलियन डॉलर से कम कमाया।,C
GW1,T1,ब्रोक्लिन ने बक्से ऑफिस में अपने बजट से लगभग 50 मिलियन अधिक कमाए थे।,E
GW1,T1,फिनोला डवयर ने अमांडा पोसे की तुलना में ब्रुकलिन का उत्पादन करने के लिए अधिक किया।,N
GW1,T1,ब्रोक्लिन में दो घंटे से अधिक समय का दौरा होता है।,C
GW3,T1,ब्रोक्लिन एक अंग्रेजी फिल्म थी।,E
GW3,T1,ब्रोक्लिन को केवल तीन देशों में जारी किया गया था।,N
GW3,T1,ब्रोक्लिन का समय 120 मिनट है।,C
GW5,T3,कच्चे हेज़ेलन में प्रत्येक सेवा में 5 ग्राम से कम चीनी होती है।,E
GW5,T3,कच्चे हेज़ेलन में बुरे चीनी की तुलना में अधिक अच्छे होते हैं।,N
GW5,T3,कच्चे हेज़ेलन में प्रति सेवा 5 ग्राम से अधिक चीनी होती है।,C
GW2,T3,"400 ग्राम फिल्बर्ट्स में एक व्यक्ति के लिए एक दिन में आवश्यक सभी जिंक होता है, उसदा के अनुसार।",E
GW2,T3,चावल पीने पर विटामिन सी खो जाता है।,N
GW2,T3,हनीमून कम वसा में होते हैं।,C
GW4,T3,एक बैग हेल्नुट्स में 600 से अधिक कैलोरी होती है।,E
GW4,T3,एक सेब हेज़ेलनट उच्च मात्रा में वसा होता है।,N
GW4,T3,एक बैग हेल्नुट्स बहुत मीठा होने के लिए जाना जाता है।,C
GW0,T5,चार्ल्स फ्रांसिस जेन्किन्स को एक से अधिक पदक दिया गया है।,E
GW0,T5,चार्ल्स फ्रांसिस जेन्किन्स ने अपने जीवन का अधिकांश समय ओहियो में बिताया।,N
GW0,T5,चार्ल्स फ्रांसिस जेन्किन्स ने अपने जीवनकाल में कभी भी एक फिल्म नहीं देखी।,C
GW2,T5,चार्ल्स फ्रांसिस जेंकिन्स 19 वीं शताब्दी में पैदा हुआ था।,E
GW2,T5,चार्ल्स फ्रांसिस जेंकिन्स 21 साल की उम्र तक ओहियो में रहता था।,N
